ID	LLB	SBI	AFC	LASD	LLSD
mp-762034	2.0	0.8358333333333333	2.4444444444444446	1.9388096707056708	1.9388096707056708
mp-1177698	2.1666666666666665	0.8578959537572255	2.857142857142857	1.9161234706099715	1.9161234706099715
mp-772227	2.5	0.8344683466502764	2.5517241379310347	1.9417651876449948	1.9417651876449948
mp-1222609	6.0	1.0669565217391304	6.0	2.0720219445361208	2.0720219445361208
mp-764445	0.0	0.6523355263157893	2.25	2.225862073714899	2.225862073714899
mp-773139	3.0	0.8987712665406428	3.9375	1.9388150819729817	1.9388150819729817
mp-685863	11.166666666666666	1.1964779874213838	5.125	1.947278020715297	1.947278020715297
mp-1177840	0.0	0.8732947976878613	3.5	2.122350627405336	2.122350627405336
mp-774656	5.2	1.0184310344827587	4.0	2.0274085503936385	2.0274085503936385
mp-754586	12.0	1.3733333333333335	5.6	1.980538051110295	1.980538051110295
mp-1174391	6.857142857142857	1.0600862068965518	6.0	2.0529337182960887	2.0529337182960887
mp-9588	8.5	0.680625	8.0	2.5815189738626394	2.5815189738626394
mp-558310	5.0	1.2612295081967215	3.5	1.9157136034809275	1.9157136034809275
mp-776727	1.0	0.9923267326732677	3.0	1.8951030141065932	1.8951030141065932
mp-757931	0.0	0.7705825242718441	2.4444444444444446	2.121010249226745	2.121010249226745
mp-766534	5.333333333333333	0.97094674556213	3.357142857142857	2.0195040966243645	2.0195040966243645
mp-760145	3.0	0.968076923076923	4.0	1.908169095118891	1.908169095118891
mp-1185368	0.0	0.37857142857142856	8.0	3.0436956480286588	3.0436956480286588
mp-862377	12.0	0.28358974358974365	11.0	2.3820660924141226	2.3820660924141226
mp-1275037	4.0	1.0128965517241375	4.0	1.978689216080685	1.978689216080685
mp-772555	1.0	1.122848837209302	4.214285714285714	2.129678258884903	2.129678258884903
mp-776733	8.333333333333334	1.1557926829268295	3.5	1.9448436058833554	1.9448436058833554
mp-769613	3.0	0.951285956006768	4.0	1.8843462652240026	1.8843462652240026
mp-757925	1.0	0.7724057971014493	3.375	1.998902226551337	1.998902226551337
mp-1210877	7.5	1.1565384615384617	6.0	2.0303324262407783	2.0303324262407783
mp-760151	2.0	1.0867088607594932	4.0	1.9811757233728675	1.9811757233728675
mp-760637	1.0	0.6998029556650245	2.2857142857142856	1.9435541555419	1.9435541555419
mp-1174385	7.2	1.1280794701986754	6.0	2.075087567401515	2.075087567401515
mp-779366	0.0	0.7018611111111113	2.0833333333333335	1.949025661289847	1.949025661289847
mp-756385	4.0	1.0391764705882354	6.0	2.0892276983719493	2.0892276983719493
mp-1176592	0.0	0.7270224719101122	2.3333333333333335	2.032037384849044	2.032037384849044
mp-26248	5.25	1.0198461538461536	3.5	1.931594145174697	1.931594145174697
mp-754592	9.0	1.5558974358974358	6.0	2.006761900458954	2.006761900458954
mp-556301	9.0	1.1568749999999999	6.0	1.9826291824163549	1.9826291824163549
mp-758380	3.6666666666666665	0.861104972375691	3.6	2.0052692117080584	2.0052692117080584
mp-771712	3.0	0.9012195121951219	4.0	1.908620864395	1.908620864395
mp-867555	0.0	0.928983050847458	3.0	1.9898265055681703	1.9898265055681703
mp-773105	0.0	0.7564422110552766	2.9714285714285715	2.00392785187844	2.00392785187844
mp-1222635	5.0	0.45794117647058824	5.0	2.5827574231840944	2.5827574231840944
mp-1185432	0.0	0.24619047619047618	8.0	2.8609201184233366	2.8609201184233366
mp-1185354	0.0	0.5971428571428573	8.0	3.0225204583170795	3.0225204583170795
mp-1111247	0.0	0.966666666666667	2.0	2.9668122327215354	2.9668122327215354
mp-1228318	0.0	1.1881355932203386	3.3333333333333335	2.159060646919449	2.159060646919449
mp-761267	6.0	1.06768	3.2	1.9197459492731976	1.9197459492731976
mp-766508	3.6	1.0307289719626165	4.166666666666667	1.9781391828206254	1.9781391828206254
mp-771074	12.0	1.3371134020618556	5.333333333333333	1.9251333429353579	1.9251333429353579
mp-777405	0.3333333333333333	0.9208310055865921	3.3333333333333335	1.9186672200948367	1.9186672200948367
mp-1644021	2.0	0.8558802395209586	3.142857142857143	1.9356785939069814	1.9356785939069814
mp-1175919	6.666666666666667	1.090576923076923	6.0	2.0614325961299214	2.0614325961299214
mp-867227	9.333333333333334	1.3000000000000003	7.5	2.6338162158089378	2.6338162158089378
mp-771060	0.0	1.1249103942652325	3.9285714285714284	2.0699991656941554	2.0699991656941554
mp-757919	2.0	0.8178835978835978	2.5714285714285716	2.241145741868319	2.241145741868319
mp-759934	0.0	1.124651162790698	3.857142857142857	1.9158200073136133	1.9158200073136133
mp-768531	0.6666666666666666	0.9222253521126762	3.0	1.927390332714406	1.927390332714406
mp-752861	6.0	1.0987593052109181	6.0	2.046420875108258	2.046420875108258
mp-1185340	0.0	0.08	12.0	3.402297570366271	3.402297570366271
mp-772569	2.0	0.8315686274509801	4.333333333333333	2.04678018037712	2.04678018037712
mp-1667834	2.0	0.8335840707964601	4.333333333333333	2.0012040179764012	2.0012040179764012
mp-765015	1.75	0.769321591650359	2.2758620689655173	1.938106451441833	1.938106451441833
mp-1097036	5.333333333333333	0.6429508196721312	4.0	2.3937129242286472	2.3937129242286472
mp-863727	0.0	0.6095238095238095	8.0	2.612532770898176	2.612532770898176
mp-755868	0.0	0.8445528455284551	4.0	1.972006805882196	1.972006805882196
mp-1100438	0.0	0.6777777777777777	7.333333333333333	2.92333370494699	2.92333370494699
mp-1245862	10.666666666666666	0.9585217391304346	6.333333333333333	2.01454659467086	2.01454659467086
mp-1177868	4.0	1.156962025316455	6.0	2.0857499982394443	2.0857499982394443
mp-758394	0.0	0.5977205882352943	2.3333333333333335	2.03857638030632	2.03857638030632
mp-778044	3.0	0.9754166666666669	3.25	1.9261330206821436	1.9261330206821436
mp-771706	2.0	0.9471929824561404	3.2857142857142856	1.933560350978444	1.933560350978444
mp-675212	0.0	0.6326315789473681	2.5	2.185720885936642	2.185720885936642
mp-867541	3.0	0.9468544600938966	4.0	1.852983425013705	1.852983425013705
mp-1008925	4.0	0.6149999999999998	9.0	2.519683771745066	2.519683771745066
mp-782665	3.5	1.1829341317365276	3.3333333333333335	1.8555276255928612	1.8555276255928612
mp-756352	4.0	1.0052873563218392	6.0	2.1064676269816727	2.1064676269816727
mp-531365	2.6666666666666665	0.968896551724138	3.75	1.9626733775625251	1.9626733775625251
mp-759061	4.0	1.0493959731543625	5.25	2.16342709735349	2.16342709735349
mp-560894	0.0	0.95340909090909	3.076923076923077	2.007278206634493	2.007278206634493
mp-3700	4.0	1.1616	3.0	1.9338782254890812	1.9338782254890812
mp-773844	4.0	0.9899492385786804	4.0	1.9890773222486835	1.9890773222486835
mp-1176223	6.888888888888889	1.0800481540930977	6.0	2.061936810749778	2.061936810749778
mp-760186	0.0	0.7999736379613355	2.4	1.9583610919428105	1.9583610919428105
mp-758419	4.4	0.9023595505617973	3.4285714285714284	1.9793717026067745	1.9793717026067745
mp-756434	2.0	0.8350442477876107	4.333333333333333	1.9991604380233077	1.9991604380233077
mp-1174434	6.75	1.100258302583026	6.0	2.0642190176475146	2.0642190176475146
mp-770381	3.6666666666666665	0.986931279620853	4.2	2.044592275063744	2.044592275063744
mp-942702	0.0	0.9285915492957746	3.0	1.8738371355488437	1.8738371355488437
mp-1079676	5.0	0.4249107142857144	3.3333333333333335	1.839965253383081	1.839965253383081
mp-759713	4.5	1.0131578947368425	3.875	2.0225100486889236	2.0225100486889236
mp-1095806	0.0	0.36666666666666664	2.0	2.865641915085637	2.865641915085637
mp-1174420	7.6	1.1341806020066891	6.0	2.0346438565127487	2.0346438565127487
mp-1177129	2.4	0.8504793028322442	3.375	1.9759211415448419	1.9759211415448419
mp-752646	5.666666666666667	1.002801724137931	3.6666666666666665	1.934774525820778	1.934774525820778
mp-772596	3.0	0.904794952681388	4.0	1.8168112652974533	1.8168112652974533
mp-755129	3.0	0.9893076923076924	4.0	1.9461768344390853	1.9461768344390853
