Database of binary bond valence properties
Type+ os+ Type- os-  R0(A)     b         cn       R_cutoff(A)
-------------------------------------------------------------
DATA_START
  Bi    3    I   -1  2.639890  0.605000  6.000000  7.50
  Bi    3    O   -2  2.036770  0.414000  5.965120  5.50
  Bi    3    S   -2  2.418240  0.523000  7.250000  6.50
  Bi    3   Se   -2  2.545450  0.554000  6.105260  7.00
  Bi    3   Te   -2  2.823040  0.599000  4.500000  7.00
  Bi    5    F   -1  1.869840  0.448000  6.000000  5.50
  Bi    5    O   -2  2.044980  0.371000  6.000000  5.00
  Bk    3    O   -2  2.030730  0.430000  6.666670  6.00
  Br    5    F   -1  1.784770  0.370000  6.000000  7.00
  Br    5    O   -2  1.850910  0.444000  3.000000  5.50
  Br    7    O   -2  1.836820  0.423000  4.000000  5.50
   C    2    F   -1  1.159070  0.407000  3.000000  6.00
   C    2    O   -2  1.413680  0.415000  1.000000  5.00
   C    2    Nx  -3  1.477050  0.504000  1.043500  6.00 ! RCN estimated
   C    4    F   -1  1.372490  0.547000  3.000000  6.00
   C    4    N   -3  1.557870  0.529000  2.000000  6.00
   C    4    O   -2  1.398260  0.447000  3.000000  5.00
   C    4    S   -2  1.843540  0.579000  3.000000  6.00
  Ca    2   As   -3  2.205710  0.713000  6.000000  8.00
  Ca    2   Br   -1  2.168600  0.634000  6.333300  7.00 ! RCN estimated
  Ca    2   Cl   -1  2.062620  0.594000  6.000000  6.50
  Ca    2    F   -1  1.710380  0.467000  6.894740  5.50
  Ca    2    H   -1  1.606560  0.490000 10.200000  5.50
  Ca    2    I   -1  2.324200  0.695000  6.000000  7.00 ! RCN estimated
  Ca    2    N   -3  1.969820  0.564000  5.166670  6.50
  Ca    2    O   -2  1.795190  0.476000  7.544000  5.50
  Ca    2    P   -3  2.195000  0.684000  6.000000  7.50
  Ca    2    S   -2  2.111480  0.612000  7.200000  7.00
  Ca    2   Sb   -3  2.314440  0.788000  6.000000  8.00
  Ca    2   Se   -2  2.202850  0.643000  7.000000  7.00
  Ca    2   Te   -2  2.388600  0.689000  7.000000  7.00 ! RCN estimated
  Cd    2   As   -3  2.424620  0.400000  3.777780  7.50
  Cd    2   Br   -1  2.169130  0.553000  5.272730  6.00
  Cd    2   Cl   -1  2.069490  0.512000  6.000000  6.00
  Cd    2    F   -1  1.739480  0.416000  6.812500  5.50
  Cd    2    I   -1  2.324400  0.613000  5.444440  7.00
  Cd    2    O   -2  1.839260  0.407000  6.220000  5.50
  Cd    2    P   -3  2.353290  0.370000  3.555560  7.50
  Cd    2    S   -2  2.127890  0.531000  4.434780  5.50
  Cd    2   Se   -2  2.162090  0.561000  4.000000  6.50
  Cd    2   Te   -2  2.366830  0.607000  4.000000  7.00
  Ce    3    F   -1  1.926560  0.458000  9.750000  5.50
  Ce    3    O   -2  2.031180  0.449000  9.060000  5.50
  Ce    3    S   -2  2.504040  0.489000  7.333330  6.00
  Ce    3   Se   -2  2.526630  0.520000  9.000000  7.00
  Ce    4    O   -2  2.025300  0.443000  8.000000  5.50
  Cl    3    O   -2  1.722650  0.491000  2.000000  5.50 ! RCN estimated
  Cl    5    O   -2  1.695520  0.445000  3.000000  5.50
  Cl    7    O   -2  1.679460  0.443000  4.000000  5.00
  Co    1    O   -2  1.295010  0.621000  2.000000  5.50
  Co    2   Cl   -1  1.931370  0.468000  4.625000  5.50
  Co    2    F   -1  1.514420  0.460000  6.000000  5.50
  Co    2    I   -1  2.198370  0.569000  4.000000  6.00
  Co    2    O   -2  1.597730  0.451000  5.506020  5.50
  Co    2    P   -3  1.623560  0.734000  4.000000  7.50
  Co    2    S   -2  2.000510  0.487000  4.000000  5.50
  Co    2   Se   -2  2.109510  0.518000  4.000000  6.00
  Co    3    F   -1  1.563450  0.443000  6.000000  5.50
  Co    3    O   -2  1.594610  0.434000  6.000000  5.50
  Co    4    F   -1  1.700350  0.441000  6.000000  5.50 ! RCN estimated
  Co    4    O   -2  1.794440  0.441000  4.000000  5.50
  Cr    1    H   -1  0.810000  0.586000  4.000000  5.50 ! RCN estimated
  Cr    2   Br   -1  2.126780  0.480000  6.000000  6.00
  Cr    2   Cl   -1  2.014990  0.439000  6.000000  5.50
  Cr    2    F   -1  1.541020  0.489000  5.636360  5.50
  Cr    2    I   -1  2.284040  0.540000  6.000000  6.50
  Cr    2    O   -2  1.593560  0.480000  5.600000  5.50
  Cr    2    S   -2  1.909320  0.458000  6.000000  5.50
  Cr    2   Te   -2  2.182570  0.534000  6.000000  6.50
  Cr    3   Br   -1  2.131650  0.530000  6.000000  6.50
  Cr    3   Cl   -1  2.005100  0.489000  6.000000  5.50
  Cr    3    F   -1  1.589750  0.438000  6.000000  5.50
  Cr    3    O   -2  1.661980  0.430000  6.000000  5.50
  Cr    3    S   -2  2.043970  0.508000  6.000000  5.50
  Cr    3   Se   -2  2.146490  0.539000  6.000000  6.00
  Cr    3   Te   -2  2.302420  0.584000  6.000000  6.50
  Cr    4    F   -1  1.648990  0.418000  6.000000  5.00
  Cr    4    O   -2  1.760950  0.409000  5.428570  5.50
  Cr    5    O   -2  1.767810  0.402000  4.000000  5.50
  Cr    6   Br   -1  2.224000  0.674000  6.000000  6.50 ! RCN estimated
  Cr    6   Cl   -1  2.007000  0.634000  6.000000  6.50 ! RCN estimated
  Cr    6    I   -1  2.537300  0.735000  6.000000  7.00 ! RCN estimated
  Cr    6    N   -3  1.968590  0.605000  4.000000  6.50 ! RCN estimated
  Cr    6    O   -2  1.824710  0.476000  4.000000  5.50
  Cr    6    S   -2  2.103000  0.652000  4.000000  6.50 ! RCN estimated
  Cr    6   Se   -2  2.300000  0.683000  4.000000  7.00 ! RCN estimated
  Cr    6   Te   -2  2.608580  0.729000  6.000000  8.00
  Cs    1   As   -3  2.764280  0.619000  5.290000  7.50
  Cs    1   Br   -1  2.508180  0.541000 10.310000  7.00
  Cs    1   Cl   -1  2.460370  0.500000 10.330000  6.50
  Cs    1    F   -1  2.153180  0.428000 11.550000  6.00
  Cs    1    H   -1  2.246560  0.404000  8.800000  6.00
  Cs    1    I   -1  2.711940  0.601000 10.480000  8.00
  Cs    1    N   -3  2.431050  0.471000 11.000000  6.00
  Cs    1   Nx   -3  2.562080  0.471000 10.894740  6.00
  Cs    1    O   -2  2.258990  0.419000 11.500000  6.50
  Cs    1    P   -3  2.729810  0.590000  4.944440  7.00
  Cs    1    S   -2  2.522830  0.519000  7.560000  6.50
  Cs    1   Sb   -3  2.918380  0.694000  5.142860  8.00
  Cs    1   Se   -2  2.648580  0.550000  7.270000  7.00
  Cs    1   Te   -2  2.782260  0.595000  7.500000  7.50
  Cu    1   Br   -1  1.868100  0.442000  3.800000  5.50
  Cu    1   Cl   -1  1.798220  0.402000  3.857140  5.00
  Cu    1    I   -1  1.930670  0.503000  3.920000  6.00
  Cu    1    O   -2  1.587290  0.341000  2.480000  5.00
  Cu    1    P   -3  1.927550  0.402000  3.080000  6.50
  Cu    1    S   -2  1.807440  0.420000  3.350000  5.00
  Cu    1   Se   -2  1.895610  0.451000  3.740000  5.50
  Cu    1   Te   -2  1.889790  0.497000  4.000000  6.00
  Cu    2   Cl   -1  1.901750  0.470000  5.615390  5.50
  Cu    2    F   -1  1.495300  0.457000  5.837840  5.50
  Cu    2    O   -2  1.574220  0.449000  5.090000  5.00
  Cu    2    S   -2  1.949970  0.488000  3.880000  6.00
  Cu    2   Se   -2  2.028880  0.519000  4.000000  6.00
  Cu    3    F   -1  1.542720  0.437000  6.000000  5.50
  Cu    3    O   -2  1.709640  0.427000  4.000000  5.00
   D    1   Br   -1  1.200000  0.725000  1.800000  6.00 ! RCN estimated
   D    1   Cl   -1  1.010400  0.685000  1.670000  5.50 ! RCN estimated
   D    1    F   -1  0.707790  0.558000  1.800000  4.50 ! RCN estimated
   D    1    I   -1  1.290000  0.786000  1.000000  6.50 ! RCN estimated
   D    1    O   -2  0.871410  0.457000  1.400000  4.00 ! RCN estimated
   D    1    S   -2  1.191640  0.591000  1.000000  5.50 ! RCN estimated
   D    1   Se   -2  1.297500  0.625000  1.000000  6.00 ! RCN estimated
   D    1   Te   -2  1.403900  0.678000  1.000000  6.50 ! RCN estimated
  Dy    3   Cl   -1  2.288100  0.493000  7.000000  6.00
  Dy    3    F   -1  1.850000  0.435000  7.000000  5.50 ! RCN estimated
  Dy    3    O   -2  1.960290  0.426000  7.620690  5.50
  Dy    3    S   -2  2.341240  0.512000  7.428570  6.00
  Er    3   Cl   -1  2.259820  0.507000  6.333330  6.00
  Er    3    F   -1  1.846630  0.421000  8.125000  5.50
  Er    3    O   -2  1.956080  0.412000  7.081080  5.50
  Er    3    S   -2  2.323660  0.525000  6.375000  6.00
  Er    3   Se   -2  2.434200  0.556000  6.000000  7.00
  Eu    2   Br   -1  2.500110  0.465000  7.333330  6.00
  Eu    2   Cl   -1  2.414470  0.425000  9.000000  5.50
  Eu    2    F   -1  1.814200  0.503000  7.000000  5.50
  Eu    2    I   -1  2.662920  0.525000  6.500000  6.50
  Eu    2    N   -3  2.187400  0.430000  6.640000  6.00 ! RCN estimated
  Eu    2    O   -2  1.891580  0.494000 10.111110  6.00
  Eu    2    S   -2  2.471730  0.443000  7.631580  6.00
  Eu    3   Cl   -1  2.319980  0.485000  8.200000  6.00
  Eu    3    F   -1  1.877630  0.443000  8.000000  5.50
  Eu    3    N   -3  2.162700  0.455000  6.330000  6.00 ! RCN estimated
  Eu    3    O   -2  2.004690  0.434000  7.628570  5.50
  Eu    3    S   -2  2.391790  0.503000  7.000000  6.00
  Fe    2   Br   -1  2.095170  0.479000  6.000000  5.50
  Fe    2   Cl   -1  2.000030  0.439000  6.000000  5.00
  Fe    2    F   -1  1.507660  0.489000  6.000000  5.50
  Fe    2    H   -1  1.050680  0.466000  6.000000  5.50
  Fe    2    I   -1  2.257850  0.540000  5.000000  6.00
  Fe    2    N   -3  1.747310  0.367000  4.000000  5.50
  Fe    2    O   -2  1.579110  0.480000  5.761060  5.50
  Fe    2    P   -3  1.710350  0.680000  4.000000  6.50
  Fe    2    S   -2  2.011110  0.457000  5.333330  5.50
  Fe    3   Br   -1  2.136270  0.578000  4.000000  6.50
  Fe    3   Cl   -1  1.982660  0.538000  5.428570  6.00
  Fe    3    F   -1  1.636740  0.411000  5.983050  5.00
  Fe    3    I   -1  2.376580  0.523000  4.000000  6.00
  Fe    3    N   -3  1.724850  0.606000  3.333330  6.00
  Fe    3    O   -2  1.708400  0.420000  5.727230  5.00
