ID	LLB	SBI	AFC	LASD	LLSD	Psuperionic
mp-762034	2.0	0.8358333333333334	8.0	1.9388096707056708	2.6522390887546017	0.09980374574661255
mp-1177698	2.1666666666666665	0.8578959537572254	10.160714285714286	1.9161234706099715	2.9280249611379383	0.016803214326500893
mp-772227	2.5	0.8344683466502766	9.10344827586207	1.941765187644995	3.191739544458087	0.02258649654686451
mp-1222609	6.0	1.0669565217391304	12.0	2.0720219445361208	2.87655376349621	0.02623622864484787
mp-764445	0.0	0.6523355263157895	7.666666666666667	2.225862073714899	8.656153389999998	5.040241831011372e-06
mp-773139	3.0	0.8987712665406429	11.125	1.9388150819729817	3.6927765036051157	0.0024764309637248516
mp-685863	11.166666666666666	1.1964779874213838	10.666666666666666	1.9472780207152969	2.4377102471760668	0.06240199878811836
mp-1177840	0.0	0.8732947976878612	8.416666666666666	2.122350627405336	4.451673257926052	0.005413532722741365
mp-774656	5.2	1.0184310344827587	12.0	2.0274085503936385	3.483152219075032	0.005128016229718924
mp-754586	12.0	1.3733333333333337	12.0	1.980538051110295	2.4299210254326558	0.026875028386712074
mp-1174391	6.857142857142857	1.0600862068965518	12.0	2.0529337182960887	2.8510057147805097	0.028118109330534935
mp-9588	8.5	0.680625	2.0	2.5815189738626394	2.882322968770141	0.999450147151947
mp-558310	5.0	1.261229508196721	9.5	1.915713603480927	2.5241930203783327	0.018104543909430504
mp-776727	1.0	0.9923267326732673	10.25	1.8951030141065932	3.787673480157542	0.0009981722105294466
mp-757931	0.0	0.7705825242718447	7.111111111111111	2.121010249226745	5.228714	0.0027709815185517073
mp-766534	5.333333333333333	0.9709467455621301	8.214285714285714	2.019504096624365	3.0322259207617726	0.08592352271080017
mp-760145	3.0	0.968076923076923	12.0	1.908169095118891	3.670789011959681	0.0010002246126532555
mp-1185368	0.0	0.3785714285714286	6.0	3.0436956480286588	4.970334179999998	0.9918087124824524
mp-862377	12.0	0.28358974358974354	12.0	2.3820660924141226	3.8898976399999996	0.7513267993927002
mp-1275037	4.0	1.012896551724138	12.0	1.978689216080685	3.72864669060711	0.0016287993639707565
mp-772555	1.0	1.1228488372093026	7.0	2.129678258884903	3.619250375403199	0.029363546520471573
mp-776733	8.333333333333334	1.1557926829268292	11.0	1.9448436058833554	2.9845054646213884	0.01187976822257042
mp-769613	3.0	0.9512859560067682	12.0625	1.8843462652240026	3.5233801475999154	0.0011625754414126277
mp-757925	1.0	0.7724057971014493	6.875	1.998902226551337	3.854065240520704	0.024567212909460068
mp-1210877	7.5	1.1565384615384615	12.0	2.0303324262407783	2.7815916086453667	0.020635666325688362
mp-760151	2.0	1.0867088607594937	12.0	1.9811757233728675	2.5806980881191097	0.010337481275200844
mp-760637	1.0	0.6998029556650246	9.571428571428571	1.9435541555419	2.687275339826737	0.06867329776287079
mp-1174385	7.2	1.1280794701986754	12.0	2.075087567401515	2.8518752895814323	0.02757437340915203
mp-779366	0.0	0.7018611111111112	10.083333333333334	1.949025661289847	5.766202049646895	6.316067447187379e-05
mp-756385	4.0	1.0391764705882354	12.0	2.0892276983719493	2.9527286099999994	0.020267970860004425
mp-1176592	0.0	0.7270224719101124	10.5	2.032037384849044	5.62054404662997	0.0001325769117102027
mp-26248	5.25	1.0198461538461538	11.5	1.931594145174697	3.0126857749530274	0.007827586494386196
mp-754592	9.0	1.5558974358974358	9.0	2.0067619004589536	2.942009710949538	0.012939040549099445
mp-556301	9.0	1.156875	12.0	1.9826291824163549	2.4197718309890237	0.03837931901216507
mp-758380	3.6666666666666665	0.8611049723756907	10.4	2.0052692117080584	2.9628995657817794	0.038247447460889816
mp-771712	3.0	0.9012195121951219	12.0	1.908620864395	3.567739567741162	0.0016408748924732208
mp-867555	0.0	0.9289830508474577	8.0	1.9898265055681703	4.048139804242034	0.003997049760073423
mp-773105	0.0	0.7564422110552762	7.729166666666667	2.00392785187844	4.656588637109914	0.0027410616166889668
mp-1222635	5.0	0.45794117647058824	12.0	2.5827574231840944	3.20516	0.9151690602302551
mp-1185432	0.0	0.24619047619047618	6.0	2.8609201184233366	4.671862989999999	0.9876886010169983
mp-1185354	0.0	0.5971428571428573	12.0	3.0225204583170795	4.935755239999999	0.7292452454566956
mp-1111247	0.0	0.9666666666666668	8.0	2.9668122327215354	8.464136049999999	0.001166892470791936
mp-1228318	0.0	1.1881355932203392	8.0	2.159060646919449	5.883817259999999	0.00011522835120558739
mp-761267	6.0	1.0676799999999997	8.5	1.9197459492731976	3.161608281974838	0.01954500377178192
mp-766508	3.6	1.030728971962617	8.583333333333334	1.978139182820625	2.8251368218155073	0.047420162707567215
mp-771074	12.0	1.3371134020618562	12.0	1.9251333429353579	2.29731713308547	0.025622116401791573
mp-777405	0.3333333333333333	0.9208310055865923	7.222222222222222	1.9186672200948367	4.569180424184982	0.0011018142104148865
mp-1644021	2.0	0.8558802395209579	9.142857142857142	1.9356785939069816	3.3765109885656566	0.011939989402890205
